ts,spot_high,spot_low,spot_close,S_t,call_high,call_low,call_close,C_mkt,best_bid_price,best_ask_price,poly_quote_ts,p_poly,poly_stale_sec,dt,tau,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,TF_t,CI_adj_lo,CI_adj_hi,s_B_proxy,s_B,s_P,f_B,f_P,se_poly_discrete,se_D_delta,D,K,r,P_poly,P_fair,market_id,market_label,binance_call_symbol
1693418400,27286.88,27100.0,27279.98,27193.440000000002,375.0,65.0,65.0,80.0,75.0,85.0,1693418400.0,0.16,0.0,2023-08-30 18:00:00+00:00,0.0006849315068493151,0.0043378995433789955,0.4700573200274331,0.3319240371065955,newton,0.008665758369349758,0.11841710133607075,0.0015449209418172823,0.03930548233792943,0.0698,-0.1381729870129919,0.15550450375169145,0.125,0.125,0.01,0.0003,0.002,0.0002886751345948129,0.039306542396280744,0.15133424163065023,28000.0,0.045,0.16,0.008665758369349758,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693422000,27286.88,27178.26,27178.28,27232.57,315.0,65.0,75.0,67.5,65.0,70.0,1693422000.0,0.17,0.0,2023-08-30 19:00:00+00:00,0.0005707762557077625,0.004223744292237443,0.4338303572464081,0.2819719420403983,newton,0.0036370035843420892,0.06704399415544776,0.0003573810743288682,0.01890452523415672,0.044337037037037036,-0.07775290291164212,0.0850269100803263,0.07407407407407407,0.07407407407407407,0.01,0.0003,0.002,0.0002886751345948129,0.01890672916350688,0.1663629964156579,28000.0,0.045,0.17,0.0036370035843420892,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693425600,27291.34,27178.27,27250.15,27234.805,285.0,65.0,70.0,67.5,65.0,70.0,1693425600.0,0.11078574949083231,0.0,2023-08-30 20:00:00+00:00,0.00045662100456621003,0.00410958904109589,0.43901190536669216,0.2513147679992469,newton,0.0015573639716694066,0.03389455946734183,7.255978829443252e-05,0.00851820334897169,0.044337037037037036,-0.05947535162935214,0.06259007957269096,0.07407407407407407,0.07407407407407407,0.01,0.0003,0.002,0.0002886751345948129,0.008523093430660364,0.1092283855191629,28000.0,0.045,0.11078574949083231,0.0015573639716694066,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693429200,27337.78,27250.15,27259.69,27293.965,285.0,65.0,70.0,62.5,60.0,65.0,1693425600.0,0.11078574949083231,3600.0,2023-08-30 21:00:00+00:00,0.00034246575342465754,0.003995433789954338,0.41077804624133796,0.2542694871854477,newton,0.0003877870721545964,0.011463901787782449,8.496761105791227e-06,0.00291492042872378,0.047299999999999995,-0.05262545696814401,0.0534010311124532,0.08,0.08,0.01,0.0003,0.002,0.0002886751345948129,0.0029291798236237665,0.1103979624186777,28000.0,0.045,0.11078574949083231,0.0003877870721545964,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693432800,27326.87,27241.0,27241.0,27283.934999999998,285.0,65.0,70.0,52.5,50.0,55.0,1693432800.0,0.14708518545507543,0.0,2023-08-30 22:00:00+00:00,0.00022831050228310502,0.0038812785388127853,0.3964947914061676,0.27553147933580857,newton,7.60936168558818e-06,0.0003760927272578377,1.073822052184551e-08,0.0001036253855087908,0.05491904761904762,-0.05511454401295926,0.05512976273633043,0.09523809523809523,0.09523809523809523,0.01,0.0003,0.002,0.0002886751345948129,0.0003067108636080223,0.14707757609338984,28000.0,0.045,0.14708518545507543,7.60936168558818e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693436400,27319.88,27228.0,27299.99,27273.940000000002,285.0,45.0,45.0,47.5,45.0,50.0,1693436400.0,0.16,0.0,2023-08-30 23:00:00+00:00,0.00022831050228310502,0.003767123287671233,0.3933477952427507,0.3182254713581219,newton,4.896262238906938e-06,0.0002544428590271252,6.556173085228289e-09,8.097019874761509e-05,0.05993157894736842,-0.06008538427467484,0.060095176799152654,0.10526315789473684,0.10526315789473684,0.01,0.0003,0.002,0.0002886751345948129,0.0002998157874738447,0.1599951037377611,28000.0,0.045,0.16,4.896262238906938e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693440000,27303.36,27198.7,27222.13,27251.03,235.0,45.0,45.0,42.5,40.0,45.0,1693436400.0,0.16,3600.0,2023-08-31 00:00:00+00:00,0.00022831050228310502,0.0036529680365296802,0.3943511552286621,0.27032602375458964,newton,2.6632378602267523e-06,0.00014593402515084686,1.5562839387933159e-09,3.944976474953071e-05,0.0661235294117647,-0.06619818771281356,0.06620351418853401,0.11764705882352941,0.11764705882352941,0.01,0.0003,0.002,0.0002886751345948129,0.0002913582284270116,0.15999733676213979,28000.0,0.045,0.16,2.6632378602267523e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693443600,27240.69,27179.12,27196.48,27209.905,190.0,35.0,35.0,37.5,35.0,40.0,1693436400.0,0.16,7200.0,2023-08-31 01:00:00+00:00,0.00022831050228310502,0.003538812785388128,0.40115303469272096,0.24100504378309995,newton,1.1586018581702024e-06,6.702926206322314e-05,2.6096432397115227e-10,1.6154390238295974e-05,0.07396666666666667,-0.07399717066967555,0.0739994878733919,0.13333333333333333,0.13333333333333333,0.01,0.0003,0.002,0.0002886751345948129,0.0002891267847455585,0.15999884139814183,28000.0,0.045,0.16,1.1586018581702024e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693447200,27233.75,27186.3,27190.01,27210.025,160.0,35.0,35.0,37.5,35.0,40.0,1693436400.0,0.16,10800.0,2023-08-31 02:00:00+00:00,0.00022831050228310502,0.003424657534246575,0.40779093280164097,0.19757320158478586,newton,1.6914927094018726e-06,9.324495189946328e-05,3.3939601082199734e-10,1.842270367839632e-05,0.07396666666666667,-0.07400108367316692,0.07400446665858572,0.13333333333333333,0.13333333333333333,0.01,0.0003,0.002,0.0002886751345948129,0.0002892623884022175,0.1599983085072906,28000.0,0.045,0.16,1.6914927094018726e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
1693450800,27217.28,27178.88,27217.27,27198.08,160.0,35.0,35.0,35.0,30.0,40.0,1693436400.0,0.16,14400.0,2023-08-31 03:00:00+00:00,0.00022831050228310502,0.003310502283105023,0.4111666138200095,0.20820886008447337,newton,1.4437478625933612e-06,8.000278594018275e-05,2.7746527230498773e-10,1.6657288864187585e-05,0.15015714285714285,-0.15018834739545406,0.15019123489117925,0.2857142857142857,0.2857142857142857,0.01,0.0003,0.002,0.0002886751345948129,0.0002891553191723063,0.1599985562521374,28000.0,0.045,0.16,1.4437478625933612e-06,251932,"BTC above $28,000 at end of August",BTC-230901-28000-C
