ts,spot_close,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D
1773921600,69277.0,0.0165,0.0165,0.0165,1773921600.0,0.42000000000000004,0.0,,,2026-03-19 12:00:00+00:00,0.011407711613050422,0.010495094684006388,0.5139431935087929,0.004090459272689191,iv_newton,0.41769972716666387,0.11568033917177656,2.2390472185768567e-07,0.00047318571603302404,0.0002886751345948129,0.0005542905873195205,0.00230027283333617
1773925200,69893.5,0.0205,0.0205,0.0205,1773925200.0,0.53,0.0,,,2026-03-19 13:00:00+00:00,0.011293634496919919,0.010381017567875885,0.5170133383529132,0.0050435050217894715,iv_newton,0.48143672480833805,-0.006941414927195525,1.2256343551569636e-09,3.500906104363503e-05,0.0002886751345948129,0.00029079024689368505,0.04856327519166198
1773928800,69490.5,0.016,0.017,0.016,1773928800.0,0.4399999295999761,0.0,,,2026-03-19 14:00:00+00:00,0.011179557380789414,0.01026694045174538,0.4743493375409232,0.012456059367252317,iv_newton,0.43594540136023824,0.09173330277205215,1.3056158065220707e-06,0.001142635465282813,0.0002886751345948129,0.001178536864020555,0.004054528239737842
1773932400,69413.0,0.016,0.016,0.016,1773932400.0,0.4499998285713306,0.0,,,2026-03-19 15:00:00+00:00,0.01106548026465891,0.010152863335614876,0.48918634103326053,0.004017788442454796,iv_newton,0.42848073770548245,0.10285706333160839,1.707821086729749e-07,0.00041325792027857724,0.0002886751345948129,0.0005040986431307946,0.021519090865848134
1773936000,69460.5,0.016,0.016,0.016,1773936000.0,0.459999903618976,0.0,,,2026-03-19 16:00:00+00:00,0.010951403148528405,0.01003878621948437,0.4845610335188851,0.004034640181425355,iv_newton,0.43299446142830544,0.09533584557925118,1.4795241707828978e-07,0.00038464583330420957,0.0002886751345948129,0.000480921771613246,0.02700544219067058
1773939600,69849.0,0.016,0.016,0.016,1773939600.0,0.48,0.0,,,2026-03-19 17:00:00+00:00,0.010837326032397902,0.009924709103353867,0.4234654137841249,0.004026555271814922,iv_newton,0.47585964215023435,0.014927329435337384,3.612697219927947e-09,6.010571703197581e-05,0.0002886751345948129,0.00029486612310209744,0.00414035784976563
1773943200,69826.5,0.016,0.016,0.016,1773943200.0,0.46000001440000926,0.0,,,2026-03-19 18:00:00+00:00,0.010723248916267396,0.009810631987223362,0.4298541785935402,0.004050563179263298,iv_newton,0.47299602027307985,0.020967779749444106,7.2133285400890415e-09,8.493131660400091e-05,0.0002886751345948129,0.0003009097237934035,-0.012996005873070593
1773946800,70276.5,0.0195,0.0195,0.0195,1773946800.0,0.5799998358489482,0.0,,,2026-03-19 19:00:00+00:00,0.010609171800136893,0.009696554871092859,0.43952689002947776,0.00500139017613362,iv_newton,0.5296353240954158,-0.10879762627894599,2.9608766405947473e-07,0.0005441393792581775,0.0002886751345948129,0.0006159715881376413,0.050364511753532404
1773950400,70490.0,0.0195,0.0195,0.0195,1773946800.0,0.5799998358489482,3600.0,,,2026-03-19 20:00:00+00:00,0.010495094684006388,0.009582477754962354,0.39922355231109863,0.0051036062938306665,iv_newton,0.5639454519207497,-0.19969062761505788,1.0386511171609787e-06,0.0010191423439152053,0.0002886751345948129,0.001059237674223454,0.016054383928198468
1773954000,70428.0,0.0195,0.0195,0.0195,1773954000.0,0.5899998274527178,0.0,,,2026-03-19 21:00:00+00:00,0.010381017567875885,0.00946840063883185,0.41458718245678466,0.005107000095612037,iv_newton,0.553137055192127,-0.1682240923324513,7.380879572751581e-07,0.000859120455626077,0.0002886751345948129,0.0009063229505030155,0.03686277226059087
