ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1675447200,1658.05,1663.9,1652.0,0.023,0.023,0.022,1675447200.0,0.38,0.0,,2023-02-03 18:00:00+00:00,0.017111567419575632,0.018024184348619667,0.6243262985350316,0.009623381283704942,iv_newton,0.36764366904948576,0.1542229042265378,2.2026887854957497e-06,0.0014841458100522838,0.0002886751345948129,0.0015119596948427836,0.01235633095051425,0.0078,0.3569347432617833,0.3783525948371882,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675450800,1654.1,1661.15,1651.6,0.023,0.023,0.023,1675447200.0,0.38,3600.0,,2023-02-03 19:00:00+00:00,0.016997490303445127,0.01791010723248916,0.6437051481405854,0.004462235510210367,iv_newton,0.35952434424892976,0.15971742028332078,5.079366494604382e-07,0.0007126967443874275,0.0002886751345948129,0.0007689408187850164,0.020475655751070243,0.0078,0.3503274586299304,0.3687212298679291,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675454400,1656.3,1662.2,1644.95,0.022,0.022,0.02,1675454400.0,0.4,0.0,,2023-02-03 20:00:00+00:00,0.016883413187314626,0.01779603011635866,0.6166932365580028,0.019465083482183745,iv_newton,0.36080394431263263,0.1671455047071967,1.0585270076603608e-05,0.00325350120279732,0.0002886751345948129,0.003266282812301614,0.03919605568736739,0.0078,0.3466270819551499,0.37498080667011535,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675458000,1658.15,1659.5,1652.7,0.0225,0.0225,0.0225,1675458000.0,0.42,0.0,,2023-02-03 21:00:00+00:00,0.01676933607118412,0.017681953000228155,0.6202864699885957,0.004377453990769092,iv_newton,0.3662455100962873,0.1581101028657651,4.790296801948612e-07,0.0006921197007706551,0.0002886751345948129,0.0007499086701246989,0.05375448990371268,0.0078,0.35708895548277686,0.37540206470979776,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675461600,1669.0,1671.7,1657.4,0.0255,0.0255,0.0255,1675458000.0,0.42,3600.0,,2023-02-03 22:00:00+00:00,0.016655258955053615,0.01756787588409765,0.6307941364567131,0.004891725249874925,iv_newton,0.3980727509853129,0.10769455154780017,2.77531048847631e-07,0.0005268121570803307,0.0002886751345948129,0.000600719886620182,0.021927249014687067,0.0078,0.3892401991574355,0.4069053028131903,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675465200,1664.35,1673.3,1662.95,0.0245,0.0255,0.0245,1675458000.0,0.42,7200.0,,2023-02-03 23:00:00+00:00,0.016541181838923114,0.017453798767967144,0.6352168659924468,0.009680718194066261,iv_newton,0.38517965050839553,0.12599514487041724,1.4877253952560478e-06,0.0012197234913110626,0.0002886751345948129,0.0012534188161143032,0.03482034949160445,0.0078,0.3749889924654259,0.3953703085513652,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675468800,1662.55,1666.25,1659.6,0.0245,0.0245,0.023,1675458000.0,0.42,10800.0,,2023-02-04 00:00:00+00:00,0.01642710472279261,0.017339721651836643,0.6456312257414383,0.014596081293852085,iv_newton,0.38118294979757616,0.129141662055441,3.553082487076158e-06,0.00188496219778439,0.0002886751345948129,0.0019069388612143526,0.03881705020242382,0.0078,0.3696884238899188,0.39267747570523354,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675472400,1658.35,1665.2,1657.25,0.0235,0.024,0.0235,1675458000.0,0.42,14400.0,,2023-02-04 01:00:00+00:00,0.016313027606662103,0.017225644535706137,0.6473843951094959,0.004914558540532581,iv_newton,0.369500310001044,0.1455368508670377,5.115816661359558e-07,0.0007152493733908166,0.0002886751345948129,0.0007713073313986384,0.05049968999895599,0.0078,0.36029842122919803,0.37870219877288996,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675476000,1659.05,1660.15,1651.05,0.0235,0.0235,0.0235,1675458000.0,0.42,18000.0,,2023-02-04 02:00:00+00:00,0.016198950490531598,0.017111567419575632,0.6463975118347125,0.004631353667409458,iv_newton,0.3709386453758516,0.14396227091197544,4.445424827704642e-07,0.0006667401913567714,0.0002886751345948129,0.0007265506287271366,0.0490613546241484,0.0078,0.3618318346007923,0.38004545615091084,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675479600,1654.9,1659.45,1652.9,0.022,0.0225,0.0215,1675458000.0,0.42,21600.0,,2023-02-04 03:00:00+00:00,0.016084873374401096,0.016997490303445127,0.6375487218864678,0.009977410768964665,iv_newton,0.3576673205364017,0.16570120990898485,2.7332985059795764e-06,0.00165326903617638,0.0002886751345948129,0.001678282407496697,0.06233267946359827,0.0078,0.34662691322549605,0.3687077278473074,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675483200,1653.4,1655.95,1651.2,0.0215,0.0215,0.0215,1675483200.0,0.38,0.0,,2023-02-04 04:00:00+00:00,0.01597079625827059,0.016883413187314626,0.6364072306303579,0.0043202469468973425,iv_newton,0.35288274497997646,0.17296516789060357,5.583859079417161e-07,0.0007472522384989664,0.0002886751345948129,0.0008010738051359871,0.027117255020023545,0.0078,0.3436181305925185,0.3621473593674344,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675486800,1652.25,1654.0,1647.55,0.02,0.0215,0.02,1675486800.0,0.37,0.0,,2023-02-04 05:00:00+00:00,0.015856719142140086,0.01676933607118412,0.6133581451309907,0.015229691452591764,iv_newton,0.34497619764997894,0.1927397029961884,8.61637477093604e-06,0.0029353662072961256,0.0002886751345948129,0.0029495267593750312,0.02502380235002105,0.0078,0.3314228798836786,0.3585295154162793,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675490400,1655.6,1656.75,1646.65,0.021,0.0215,0.0205,1675486800.0,0.37,3600.0,,2023-02-04 06:00:00+00:00,0.01574264202600958,0.016655258955053615,0.6208457801274095,0.010102207450341044,iv_newton,0.35559068698609453,0.1749392584873186,3.1232527270568956e-06,0.0017672726804477275,0.0002886751345948129,0.001790694295626763,0.014409313013905467,0.0078,0.344326832532417,0.36685454143977203,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
1675494000,1659.35,1660.25,1654.65,0.0215,0.0215,0.0215,1675486800.0,0.37,7200.0,,2023-02-04 07:00:00+00:00,0.01562856490987908,0.016541181838923114,0.6160801264653265,0.004330365020723701,iv_newton,0.3653102351486358,0.16262421256255924,4.95928909231481e-07,0.0007042222016036423,0.0002886751345948129,0.0007610927949762856,0.0046897648513641865,0.0078,0.3561299596334927,0.3744905106637789,248578,"ETH above $1,700 on February 10",ETH-10FEB23-1700-C
