ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,dvol_close,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1771808400,64406.5,66696.0,64244.5,0.0001,0.0001,0.0001,1771808400.0,0.01100000000000001,0.0,,,2026-02-23 01:00:00+00:00,0.0018252338580880675,0.0007985398129135296,1.2299071403490005,0.0014985424725667681,iv_bisect,0.05373285151964578,0.13826038738299515,4.292730773024827e-08,0.00020718906276695273,0.0002886751345948129,0.0003553317338257049,-0.04273285151964577,0.0078,0.04552676095662255,0.061938942082669014,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771812000,64751.5,64882.0,64294.0,0.0001,0.0001,0.0001,1771812000.0,0.0020000000000000018,0.0,,,2026-02-23 02:00:00+00:00,0.0017111567419575632,0.0006844626967830253,1.2538277775605022,0.0015467523023159056,iv_bisect,0.06335878176170143,0.14624860036186751,5.1171126663772806e-08,0.00022621035932019737,0.0002886751345948129,0.00036674849692549,-0.061358781761701425,0.0078,0.055115409457433845,0.07160215406596901,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771815600,64903.5,65044.0,64673.0,0.0001,0.0001,0.0001,1771815600.0,0.0030000000000000027,0.0,,,2026-02-23 03:00:00+00:00,0.0015970796258270592,0.0005703855806525211,1.3374807920454443,0.001659437476315353,iv_bisect,0.0749766506213854,0.14667523877660318,5.924277531672854e-08,0.00024339838807339818,0.0002886751345948129,0.0003775925166764589,-0.07197665062138539,0.0078,0.06669958978076153,0.08325371146200926,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771819200,64778.0,64999.5,64645.0,0.0001,0.0001,0.0001,1771819200.0,0.0030000041811687472,0.0,,,2026-02-23 04:00:00+00:00,0.001483002509696555,0.0004563084645220169,1.5287619963677226,0.001887737549732747,iv_bisect,0.0892731226285487,0.13581549098551207,6.573275656806074e-08,0.0002563840021687405,0.0002886751345948129,0.00038609077935298337,-0.08627311844737995,0.0078,0.08097060998429796,0.09757563527279943,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771822800,65035.0,65221.5,64772.0,0.0001,0.0001,0.0001,1771822800.0,0.0020000000000000018,0.0,,,2026-02-23 05:00:00+00:00,0.0013689253935660506,0.00034223134839151266,1.6865332383941112,0.002103198713744055,iv_bisect,0.11328350615258982,0.13057773730397235,7.542214724102676e-08,0.0002746309291413237,0.0002886751345948129,0.0003984413138397675,-0.11128350615258982,0.0078,0.10494522953147283,0.12162178277370682,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771826400,65736.5,65780.0,64995.0,0.0001,0.0001,0.0001,1771826400.0,0.007000000091000001,0.0,,,2026-02-23 06:00:00+00:00,0.0012548482774355464,0.00022831050228310502,1.8005783024425803,0.002313807392409053,iv_bisect,0.154751161779227,0.12591026290765553,8.487439079829534e-08,0.00029133209709590076,0.0002886751345948129,0.00041013134985225,-0.147751161688227,0.0078,0.146380150868919,0.16312217268953497,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771830000,65947.5,65981.0,65644.5,0.0001,0.0001,0.0001,1771830000.0,0.005,0.0,,,2026-02-23 07:00:00+00:00,0.0011407711613050423,0.00022831050228310502,1.7206876001170275,0.0022335405116862667,iv_bisect,0.1458604695917263,0.13248137523469503,8.75583005319332e-08,0.00029590251863060104,0.0002886751345948129,0.0004133904133688474,-0.1408604695917263,0.0078,0.1374805006552103,0.1542404385282423,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771833600,65657.5,65947.0,65550.0,0.0001,0.0001,0.0001,1771833600.0,0.0030000000000000027,0.0,,,2026-02-23 08:00:00+00:00,0.001026694045174538,0.00022831050228310502,1.8304415108530223,0.0023436465737206808,iv_bisect,0.1312494258096788,0.12352815640218924,8.38139211955055e-08,0.0002895063405100232,0.0002886751345948129,0.0004088364642847294,-0.1282494258096788,0.0078,0.12288199338227915,0.13961685823707845,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771837200,66385.5,66447.0,65657.0,0.0001,0.0001,0.0001,1771837200.0,0.008,0.0,,,2026-02-23 09:00:00+00:00,0.0009126169290440338,0.00022831050228310502,1.5541471167723835,0.0020640203271609044,iv_bisect,0.12469405321946288,0.1460915806410473,9.092395451375255e-08,0.0003015359920701881,0.0002886751345948129,0.0004174413585727771,-0.11669405321946288,0.0078,0.11630304267500531,0.13308506376392046,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
1771840800,66308.5,66608.5,66210.0,0.0001,0.0001,0.0001,1771840800.0,0.007000000000000006,0.0,,,2026-02-23 10:00:00+00:00,0.0007985398129135296,0.00022831050228310502,1.5835016005571185,0.002094127385465743,iv_bisect,0.1089134318060073,0.1400154470799746,8.597221089790782e-08,0.0002932101821184043,0.0002886751345948129,0.00041146754942673327,-0.10191343180600729,0.0078,0.10053873984905522,0.11728812376295937,1385965,"BTC above $70,000 on Feb 23, 2026",BTC-23FEB26-70000-C
