ts,spot_close,spot_high,spot_low,call_close,call_high,call_low,poly_quote_ts,p_poly,poly_stale_sec,rv_ann,dt,tau_poly,tau_call,sigma_hat,se_sigma,sigma_source,p_fair,dpfair_dsigma,var_pfair,se_pfair,se_poly_discrete,se_D_delta,D,TF_t,CI_adj_lo,CI_adj_hi,market_id,market_label,deribit_call
1692226800,28708.0,28890.0,28700.0,0.0435,0.0435,0.0435,1692208800.0,0.75,18000.0,,2023-08-16 23:00:00+00:00,0.03844398813597992,0.04209445585215606,0.35039738072422105,0.0057797097196354875,iv_newton,0.6373384326542011,-0.4515239085132479,6.810414684648883e-06,0.002609677122681824,0.0002886751345948129,0.0026255947931815783,0.11266156734579891,0.0078,0.6244234654937447,0.6502533998146575,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692230400,28556.5,28754.0,28303.0,0.038,0.038,0.038,1692230400.0,0.7799999999355371,0.0,,2023-08-17 00:00:00+00:00,0.038329911019849415,0.04198037873602555,0.32092578376585623,0.004961737602552805,iv_newton,0.6203669129162365,-0.44018621362280214,4.7702425245393645e-06,0.002184088488257599,0.0002886751345948129,0.002203083261675032,0.15963308701930068,0.0078,0.6082860994792515,0.6324477263532214,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692234000,28612.5,28629.5,28520.5,0.038,0.038,0.038,1692230400.0,0.7799999999355371,3600.0,,2023-08-17 01:00:00+00:00,0.03821583390371892,0.04186630161989505,0.30560733212709884,0.0050581399982231505,iv_newton,0.6398935881786671,-0.5138329110346459,6.755002682386459e-06,0.00259903879970778,0.0002886751345948129,0.0026150212266289143,0.14010641175687,0.0078,0.6269994721312399,0.6527877042260944,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692237600,28559.0,28618.5,28543.0,0.038,0.038,0.038,1692230400.0,0.7799999999355371,7200.0,,2023-08-17 02:00:00+00:00,0.03810175678758841,0.04175222450376454,0.3211909187645142,0.0049784060349613414,iv_newton,0.6211462996923756,-0.44179537654589085,4.8375221000113265e-06,0.0021994367688140813,0.0002886751345948129,0.002218300122468702,0.1588537002431616,0.0078,0.6090354036254999,0.6332571957592512,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692241200,28630.0,28665.0,28553.0,0.038,0.038,0.038,1692230400.0,0.7799999999355371,10800.0,,2023-08-17 03:00:00+00:00,0.037987679671457907,0.04163814738763404,0.30142870074039435,0.005104769910716866,iv_newton,0.6463488191179533,-0.5377352283108986,7.53510522785608e-06,0.0027450146134139395,0.0002886751345948129,0.0027601519090784503,0.13365118081758387,0.0078,0.6331685904756619,0.6595290477602447,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692244800,28618.5,28677.5,28584.5,0.038,0.038,0.038,1692230400.0,0.7799999999355371,14400.0,,2023-08-17 04:00:00+00:00,0.0378736025553274,0.04152407027150354,0.3052498111680567,0.005089253827661085,iv_newton,0.6420138097443989,-0.5198781994241546,7.000215922870659e-06,0.0026457921163369315,0.0002886751345948129,0.002661493801646735,0.13798619019113822,0.0078,0.6290280571963786,0.6549995622924193,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692248400,28655.5,28655.5,28606.0,0.038,0.038,0.038,1692230400.0,0.7799999999355371,18000.0,,2023-08-17 05:00:00+00:00,0.037759525439196896,0.04140999315537303,0.2947498097671088,0.005172295677998359,iv_newton,0.6561670013366442,-0.5755016930038618,8.86053404241407e-06,0.0029766649194046127,0.0002886751345948129,0.0029906299295879794,0.12383299859889296,0.0078,0.6425327380946111,0.6698012645786773,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692252000,28662.0,28668.5,28627.5,0.038,0.038,0.038,1692230400.0,0.7799999999355371,21600.0,,2023-08-17 06:00:00+00:00,0.03764544832306639,0.04129591603924253,0.2932334043733687,0.0051940429759545145,iv_newton,0.658731134668588,-0.5850764895930148,9.234988764299646e-06,0.0030389124311667234,0.0002886751345948129,0.003052592684527855,0.12126886526694913,0.0078,0.6449748663035012,0.6724874030336748,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692255600,28590.0,28662.0,28577.0,0.038,0.038,0.038,1692230400.0,0.7799999999355371,25200.0,,2023-08-17 07:00:00+00:00,0.037531371206935886,0.04118183892311202,0.3148721148845475,0.005059314000570963,iv_newton,0.6316386834217131,-0.4777226342518631,5.841641559151913e-06,0.0024169488118600925,0.0002886751345948129,0.0024341271315371444,0.148361316513824,0.0078,0.6191014637504674,0.6441759030929589,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692259200,28522.5,28600.0,28522.5,0.038,0.038,0.038,1692230400.0,0.7799999999355371,28800.0,,2023-08-17 08:00:00+00:00,0.03741729409080539,0.04106776180698152,0.3341526955284809,0.004970192725400937,iv_newton,0.6091468090139592,-0.3947393177628898,3.849171230227943e-06,0.001961930485574844,0.0002886751345948129,0.0019830543521450125,0.1708531909215779,0.0078,0.5975014252622325,0.620792192765686,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692262800,28561.5,28583.0,28490.5,0.038,0.038,0.038,1692262800.0,0.63,0.0,,2023-08-17 09:00:00+00:00,0.03730321697467488,0.04095368469085101,0.3238949773527508,0.005028835735227055,iv_newton,0.6217948803880173,-0.4396682696329982,4.888607255805761e-06,0.0022110195059758656,0.0002886751345948129,0.002229784875080799,0.00820511961198267,0.0078,0.6096612821563047,0.63392847861973,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
1692266400,28508.5,28580.0,28466.5,0.038,0.038,0.038,1692262800.0,0.63,3600.0,,2023-08-17 10:00:00+00:00,0.03718913985854438,0.040839607574720514,0.3389628170409911,0.0049670956456827125,iv_newton,0.6047342103968224,-0.37814279924373545,3.527903645782238e-06,0.0018782714515698305,0.0002886751345948129,0.001900325492939452,0.025265789603177602,0.0078,0.5932527983517455,0.6162156224418993,251932,"BTC above $28,000 at end of August",BTC-1SEP23-28000-C
