split,bucket,n,mean_D,median_D
Fair-probability tercile,Low,96,0.09470697043864774,0.09815596377490854
Fair-probability tercile,Mid,95,0.03035565366121734,0.032455701714426
Fair-probability tercile,High,96,0.06456784956106992,0.12093793680092045
Time-to-expiry tercile,Short,96,0.06163041534441966,0.049268098976009145
Time-to-expiry tercile,Mid,95,0.042098891560501686,0.0248511589361371
Time-to-expiry tercile,Long,96,0.08602349215079785,0.0812165541753971
