term,coef,std_err,z_stat,p_value,ci_lo,ci_hi
p_fair,-0.3979599126172507,0.0626103159298052,-6.356139666559399,2.0688693535850912e-10,-0.5206738769003434,-0.2752459483341581
se_pfair,0.03934007468949249,0.019174178581365962,2.051721513000006,0.04019673478795631,0.0017593752368758944,0.07692077414210907
tau_hours,0.0007734702916305582,0.0001295966547121391,5.968289022186531,2.3975439941265036e-09,0.0005194655158778925,0.001027475067383224
