sample,n,mean_D,median_D,trimmed_mean_D_10pct,share_positive_D,sign_test_p_value
Pooled panel,287,0.06332463351145834,0.0641588998445603,0.05757137472074711,0.686411149825784,2.4522047653173837e-10
"BTC above $28,000 at end of August",37,0.09568490280284551,0.0999682498309361,0.09651764441870746,1.0,1.4551915228366852e-11
"BTC above $26,000 at end of August",36,0.07452644818306034,-0.0359447235009891,0.049443152447477684,0.3888888888888889,0.24298495403490966
"BTC above $27,000 at end of September",214,0.05584521625931349,0.0640323069461087,0.05308892970722572,0.6822429906542056,1.031454585623313e-07
