market_id,market_label,binance_call_symbol,side_poly,side_label,entry_ts,exit_ts,hold_hours,entry_D,exit_D,entry_band,p_poly_entry,p_poly_exit,p_fair_entry,proxy_exit_value,q_call,x_spot_entry,gross_pnl,net_pnl,poly_gross_pnl,proxy_gross_pnl,entry_cost,rebalance_cost,exit_cost,capital_abs,gross_return,net_return,n_rehedges,exit_reason,entry_dt,exit_dt
251932,"BTC above $28,000 at end of August",BTC-230901-28000-C,-1,short_yes_long_proxy,1693407600,1693411200,1.0,0.14843564734633577,0.04452253318074045,0.12561104070099194,0.17,0.05790386956495406,0.021564352653664236,0.01695591825234044,0.00045718446959980063,4.527786425118915e-05,0.10748769603372216,0.08880781126008089,0.11209613043504596,-0.004608434401323795,0.008769269419714868,0.0,0.009910615353926396,1.4377035789275272,0.07476346140412611,0.06177059900367513,0,neutral_band,2023-08-30 15:00:00+00:00,2023-08-30 16:00:00+00:00
251932,"BTC above $28,000 at end of August",BTC-230901-28000-C,-1,short_yes_long_proxy,1693418400,1693454400,10.0,0.15133424163065023,0.06922986928078426,0.10910548233792944,0.16,0.06923480450444153,0.008665758369349758,-0.0006562209334879388,0.00025358375701889954,2.510332100322493e-05,0.08144321619272078,0.06380696451388435,0.09076519549555848,-0.009321979302837697,0.008615327622013919,0.0009938814252351091,0.008027042631587405,0.8629323540634489,0.09437960670869978,0.07394202362841619,9,neutral_band,2023-08-30 18:00:00+00:00,2023-08-31 04:00:00+00:00
251932,"BTC above $28,000 at end of August",BTC-230901-28000-C,-1,short_yes_long_proxy,1693461600,1693476000,4.0,0.11997762622477352,0.06998280371092354,0.06626567358799329,0.12,0.06999999999999995,2.237377522647572e-05,-8.981565151124603e-06,2.842883524571821e-06,1.6248246422956615e-07,0.049968644659622447,0.03594023444395624,0.050000000000000044,-3.135534037760032e-05,0.007009358263389023,9.791035732832908e-06,0.007009260916544342,0.12455043817510411,0.4011920422903055,0.28855967887827305,3,neutral_band,2023-08-31 06:00:00+00:00,2023-08-31 10:00:00+00:00
251932,"BTC above $28,000 at end of August",BTC-230901-28000-C,-1,short_yes_long_proxy,1693479600,1693483200,1.0,0.15987583140848138,0.0599969586703161,0.15097751744841634,0.16,0.06000026857173546,0.0001241685915186184,-0.0002942074516537295,1.5626182690923315e-05,8.965691937326424e-07,0.09958135538509219,0.08540036673232278,0.09999973142826454,-0.0004183760431723479,0.00709057544903619,0.0,0.007090413203733225,0.18510783772082018,0.5379640139024306,0.46135467727262686,0,neutral_band,2023-08-31 11:00:00+00:00,2023-08-31 12:00:00+00:00
252015,"BTC above $26,000 at end of August",BTC-230901-26000-C,-1,short_yes_long_proxy,1693526400,1693530000,1.0,0.16857815979603652,0.37167754780537166,0.052157953944439936,0.6699999999999999,0.97,0.5014218402039634,0.5490325476328906,-3.2607003759926894e-05,0.0029998993858974064,-0.2523892925710729,-0.3445761798363034,-0.30000000000000004,0.047610707428927146,0.04608209357401695,0.0,0.046104793691213536,78.67255423039593,-0.003208098364671625,-0.004379877877451358,0,neutral_band,2023-09-01 00:00:00+00:00,2023-09-01 01:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,-1,short_yes_long_proxy,1695114000,1695261600,41.0,0.14520835464126636,-0.04823943217161997,0.05267598050002327,0.7,0.44999999999999996,0.5547916453587336,0.4706120103994298,-0.00012566018441843513,0.00030972359693072184,0.1658203650406962,0.13080373676640905,0.25,-0.0841796349593038,0.013134180423499616,0.00920575620318271,0.01267669164760483,9.238263932722402,0.017949299375757385,0.014158908829514552,40,convergence,2023-09-19 09:00:00+00:00,2023-09-21 02:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,1,long_yes_short_proxy,1695265200,1695286800,6.0,-0.048166310792702616,0.008780970252967424,0.016186919903120697,0.44999999999999996,0.44999999999999996,0.49816631079270257,0.4384447898003625,-3.604899670147252e-05,0.0003105875237862192,0.05972152099234007,0.035677982668740046,0.0,0.05972152099234007,0.011288953928092413,0.0008658189104388379,0.011888765485068769,8.855413406968278,0.006744069220455086,0.004028946027597676,5,neutral_band,2023-09-21 03:00:00+00:00,2023-09-21 09:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,-1,short_yes_long_proxy,1695301200,1695376800,21.0,0.0980562490189722,-0.0061785499271272415,0.0942946307616317,0.44999999999999996,0.35000000256795194,0.35194375098102776,0.3472486271762909,0.0002688421553260048,0.00019465820173819517,0.09530487362731116,0.06823917553797332,0.09999999743204802,-0.004695123804736856,0.012293138516302694,0.003503167807476753,0.011269391765558402,5.691157300413762,0.016746132393912615,0.011990386477810436,20,neutral_band,2023-09-21 13:00:00+00:00,2023-09-22 10:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,1,long_yes_short_proxy,1695488400,1695582000,26.0,-0.118364482216411,0.47391927176008497,0.06172450869982629,0.19999999999999996,0.76,0.31836448221641095,0.28727529933761176,0.0005513775030653422,0.0002473728561047385,0.5910891828787992,0.5632334678128657,0.56,0.031089182878799193,0.014451324329715062,0.00244626529658503,0.010958125439633488,6.867825651149242,0.08606642231517453,0.08201044936523917,25,convergence,2023-09-23 17:00:00+00:00,2023-09-24 19:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,-1,short_yes_long_proxy,1695585600,1695686400,28.0,0.46940498318936896,-0.0019267664672594775,0.04665424956252236,0.76,0.18000000000000005,0.29059501681063105,0.19691806900858033,0.0005639913924213404,0.00018688899523107964,0.48632305219794925,0.4640404839724609,0.58,-0.09367694780205071,0.010909676199259708,0.0004943054836955874,0.010878586542533066,5.796054876920099,0.08390587434471826,0.08006143727525268,3,neutral_band,2023-09-24 20:00:00+00:00,2023-09-26 00:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,-1,short_yes_long_proxy,1695754800,1695805200,14.0,0.07543295266695865,0.06330237203094588,0.06763531497673143,0.25,0.25,0.17456704733304135,0.183730465782177,0.0013485643285732973,0.00010710805364670889,0.009163418449135652,-0.016291339817510263,-0.0,0.009163418449135652,0.011799030441214784,0.0011700803765081582,0.012485647448922972,3.136256219120268,0.002921769718070428,-0.0051945181385977595,13,neutral_band,2023-09-26 19:00:00+00:00,2023-09-27 09:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,1,long_yes_short_proxy,1695812400,1695819600,2.0,-0.0783295763694487,-0.045455425358139845,0.05747523582185412,0.25,0.25,0.3283295763694487,0.29441635999362603,0.0006093984312387797,0.00025721514720874604,0.033913216375822675,0.005928520620635657,0.0,0.033913216375822675,0.011975094481109195,0.0012607641078168964,0.01474883716626093,7.186713719742623,0.0047188767631942356,0.0008249278949778418,1,neutral_band,2023-09-27 11:00:00+00:00,2023-09-27 13:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,-1,short_yes_long_proxy,1695906000,1695909600,1.0,0.17537801721398633,0.06802236136888945,0.11373366838447665,0.4,0.4,0.2246219827860137,0.33907662079199685,0.0019883500858904994,0.00016810319437292142,0.11445463800598316,0.076025892587104,-0.0,0.11445463800598316,0.014222831701573405,0.0,0.02420591371730575,4.9337382249826724,0.023198360510175858,0.015409389213666887,0,neutral_band,2023-09-28 13:00:00+00:00,2023-09-28 14:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,1,long_yes_short_proxy,1695920400,1695924000,1.0,-0.17762360819991863,-0.15120996810019116,0.11831323617256875,0.4,0.4,0.5776236081999186,0.564871061032882,-0.0005295619253609846,0.000970224978065239,0.012752547167036665,-0.035521092558589505,0.0,0.012752547167036665,0.024166453205436887,0.0,0.024107186520189283,26.839785913368296,0.0004751359496010327,-0.0013234491762803982,0,neutral_band,2023-09-28 17:00:00+00:00,2023-09-28 18:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,1,long_yes_short_proxy,1695934800,1695945600,3.0,-0.09807983472655979,-0.1568285242264501,0.08020919913714039,0.4,0.4,0.4980798347265598,0.5502390695306723,-4.1616883136491524e-05,0.0009211616694684451,-0.05215923480411244,-0.09969042957554543,0.0,-0.05215923480411244,0.01974821657364635,0.004733730194259446,0.02304924800352719,25.274052659986474,-0.0020637463847137665,-0.0039443784863744434,2,neutral_band,2023-09-28 21:00:00+00:00,2023-09-29 00:00:00+00:00
252196,"BTC above $27,000 at end of September",BTC-230929-27000-C,-1,short_yes_long_proxy,1695963600,1695967200,1.0,0.20636059147931873,0.14654672969297766,0.1676147724754749,0.6699999195999292,0.6699999195999292,0.4636393281206105,0.5098723293224552,0.0006349024122631067,0.000977185831937605,0.0462330012018447,-0.009237456669683106,-0.0,0.0462330012018447,0.02177174474054517,0.0,0.03369871313098264,27.04850087555868,0.0017092629796581942,-0.0003415145524027977,0,neutral_band,2023-09-29 05:00:00+00:00,2023-09-29 06:00:00+00:00
